77619,5101,Shelby County Shooters Association,6 miles on Hwy 96 South,TX,Center,75935-0522,(936) 598-4271,No,"Private, Outdoor, Handicap accessible , Public Access, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Center-Fire Rifle: 500 yd/mtr",,#
77622,12075,Freedom Firearms & Defense,5545 Eastex Freeway,TX,Beaumont,77706,(409) 234-2577,Yes,"Public, Indoor, Handicap accessible , Public Access, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 75 ft",,http://Freedomfd.com
77622,12458,Golden Triangle Gun Club,7546 Erie Street,TX,Beaumont,77705,(409) 729-4842,No,"Private, Outdoor, Handicap accessible , Members Only, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Center-Fire Rifle: 500 yd/mtr",,https://goldentrianglegunclub.com
77623,2590,Flying Feathers,804 Bauer Rd.,TX,Winnie,77665,(409) 296-2348,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,#
77623,2058,Legers Shooting Range,14061 Hwy 90,TX,Beaumont,77713,(409) 866-0871,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 50 yd/mtr",,#
77624,4664,Bear Arms,7101 U.S. Hwy 190 W,TX,Livingston,77351-6290,(936) 967-3633,No,"Public, Outdoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,#
77627,6920,One In One Hundred Gun Club,1228 FM 421,TX,Lumberton,77657,(409) 755-6648,No,"Private, Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 300 yd/mtr, Center-Fire Rifle: 300 yd/mtr",,http://www.1in100gunclub.com
77651,1868,Texas City Municipal Shooting Range,4000 N. Bay St Extension,TX,Texas City,77590,(409) 948-4291,No,"Public, Outdoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,http://www.texas-city-tx.org
77660,6953,Rives Rifle Range,2817 FM 834 West,TX,Liberty,77575,(936) 334-4808,No,"Public, Outdoor, Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,#
77661,5370,Gus Gun Range,HC 2 Box 451200,TX,Kirbyville,75956-9587,(409) 423-4127,No,"Public, Outdoor, Handicap accessible",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,http://www.lightszone.com
00667,11673,Tooele Gun Club,2991 East 400 North,UT,Tooele,84074-0655,(435) 841-4034,No,"Public, Outdoor, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns",,,http://www.tooelegunclub.com
00667,5670,Big Shot Ranch,6711 N Higley Lane,UT,Grantsville,84029,(801) 244-7468,No,"Private, Outdoor",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 300 yd/mtr",,http://www.bigshotranch.com
00667,5781,Last Resort Clays Llc,4006 S 8400 W,UT,Magna,84044,(801) 556-9638,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,#
00667,6225,Wasatch Wing & Clay,Wasatch Wing & Clay  8000 N 16800W,UT,Cedar Fort,84013,(801) 592-1155,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,http://www.wasatchwingandclay.com
00667,4455,Soldier Hollow Facility,9831 Quintail Ln,UT,South Jordan,84095-3384,(801) 816-3532,No,"Public, Outdoor, Handicap accessible",,"Handguns, Rifles, Shotguns",Handgun/Smallbore Rifle: 50 yd/mtr,,http://www.utah.com/olympics/venues/soldier_hollow.htm
00693,5696,Charlevoix Rod & Gun Club Inc,09890 Us 31 Hwy North,MI,Charlevoix,49720,(231) 547-2785,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",Center-Fire Rifle: 200 yd/mtr,,#
00693,3478,Boyne Sporting Clays Club,841 Highland Pkwy,MI,Harbor Springs,49740-9442,(616) 526-7911,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,#
00693,6870,Chain O' Lakes Sportsmans Club,840 Peterson Rd,MI,Mancelona,49659,(231) 267-9422,No,"Private, Outdoor, Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.colsc.org
00757,4687,Skagit Shooting Sports,1340 Bouslog Rd.,WA,Burlington,98233-3402,(360) 399-7950,Yes,"Public, Indoor, Handicap accessible , Public Access, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 75 ft",,http://www.skagitshootingrange.com/
00757,3986,Granite Falls Sportsmen's Club,20319 Gun Club Road,WA,Granite Falls,98252-0293,(360) 691-5161,Yes,"Public, Outdoor, Handicap accessible , Memberships Available",,"Handguns, Rifles, Shotguns",,,http://gfsclub.com/
00757,5128,Twin City Sportsmen,26933 64th Avenue N,WA,Stanwood,98292,(360) 629-3474,No,"Public, Outdoor, Memberships Available",,"Handguns, Rifles, Shotguns",,,#
00757,12176,Marysville Rifle Club,1601 Lakewood Road,WA,Arlington,98270,,No,"Private, Outdoor, Members Only, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 100 yd/mtr, Center-Fire Rifle: 50 ft",,http://www.marysvillerifleclub.org
00757,6148,Rock Mountain Sporting Clays,16377 Taylor Rd,PA,Mt. Vernon,98273,(360) 422-8820,No,"Private, Outdoor",,"Handguns, Rifles, Shotguns",,,#
00757,6895,Norpoint Shooting Center,8620A 172nd St NE,WA,Arlington,98223,(360) 386-8832,No,"Public, Indoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 75 ft",,http://www.norpointrange.com
00757,5884,Central Whidbey Sportsmens Association,351 Safari St,WA,Coupeville,98239-0711,(360) 678-1665,No,"Public, Outdoor, Handicap accessible , Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.cwsaonline.org
00757,12003,Anchor Point,,,,,(360) 720-2619,No,"Public, Indoor, Handicap accessible , Public Access, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 75 ft",,http://www.anchorpointwa.com
00757,4075,"Greene's Gun Shop, Inc.",4778 N. Monkey Hill Road,WA,Oak Harbor,98277,(360) 675-3421,No,"Public, Indoor/Outdoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Handgun/Smallbore Rifle: 100 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.greenesgunshop.com/Departments/Greenes-Gun-Shop.aspx
00757,1668,North Whidbey Sportsmen's Association,886 Gun Club Road,WA,Oak Harbor,98277,(360) 675-9295,No,"Private, Outdoor, Handicap accessible , Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.northwhidbeysportsmen.org/
00757,6801,Holmes Harbor Rod and Gun Club,3334 E Brooks Hill Road,WA,Langley,98260,(360) 221-8494,No,"Private, Indoor/Outdoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 300 yd/mtr",,http://www.hhrodandgun.com
00757,4721,Whidbey Island Bowmens Club,Clover Valley Road Rocky Point Park,WA,Oak Harbor,98278,(360) 929-1878,No,"Private, Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns",,,http://www.whidbeybowmen.com/
00778,7308,Grant County Public Shooting Range,12055 Hwy 180 E,NM,Santa Clara,88026,(575) 537-5328,No,"Public, Outdoor, Handicap accessible , Public Access",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 500 yd/mtr, Center-Fire Rifle: 500 yd/mtr",,#
00778,5087,"Southwestern Shotgunners, Inc.",2009 Casa Loma Rd Po Box 51,NM,Silver City,88061-7701,(505) 388-5755,No,"Private, Outdoor, Handicap accessible , Public Access, Members Only",,"Handguns, Rifles, Shotguns",,,#
00778,4744,Hole in the Wall Gun Range,4008 Hwy 90 S,NM,Silver City,88061,(575) 388-8186,No,"Private, Indoor/Outdoor, Handicap accessible , Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns",Handgun/Smallbore Rifle: 75 ft,,http://www.proforcetrain.com
00961,2312,Paw Paw Conservation,56222 30th St,MI,Paw Paw,49079,(269) 657-8949,Yes,"Public, Outdoor, Members Only, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns",,,https://www.pawpawconservationclub.com/
00961,6415,Allegan County Conservation League,2157 41st Street,MI,Allegan,49010,(269) 673-8116,No,"Public, Outdoor, Public Access, Memberships Available",,"Handguns, Rifles, Shotguns",,,#
00961,9999,Southern Michigan Gun Club,22471 38th Ave,MI,Mattawan,49071,269-267-8616,No,"Private, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 100 yd/mtr, Center-Fire Rifle: 50 ft",,http://SouthernMichiganGunClub.com
00961,11720,"Gun River Skeet & Trap Club, Inc.",620 11th Street,MI,Plainwell,49080,(269) 686-5280,No,"Public, Outdoor, Public Access, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns",,,http://www.gunriverskeetandtrap.com
00961,2455,Fennville Rod and Gun and Gun Club,2503 49th St,MI,Fennville,49408,(269) 561-2133,No,"Public, Outdoor, Handicap accessible , Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 300 yd/mtr, Center-Fire Rifle: 300 yd/mtr",,http://fennvillerodandgunclub.com
00961,1883,Rustic Ridge Hunt Club Inc,1332 12th St,MI,Martin,49070-8721,(269) 672-9601,No,"Public, Outdoor, Handicap accessible",,"Handguns, Rifles, Shotguns",,,http://www.rusticridgehuntclub.com
00961,1842,South Haven Rod and Gun Club,68611 8th Ave,MI,South Haven,49090-8162,(269) 637-8001,No,"Public, Indoor",,"Handguns, Rifles, Shotguns",,,http://www.shrgc.org/index.html
00961,2164,Southern Michigan Gun Club,809 East Crosstowm Pkwy,MI,Kalamazoo,49001,(269) 382-2238,No,"Private, Indoor, Public Access, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 100 yd/mtr",,http://www.southernmichigangunclub.com
00961,2092,Kalamazoo Rod and Gun Club,7533 N Sprinkle Rd,MI,Kalamazoo,49019,(269) 342-1550,No,"Private, Indoor/Outdoor, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 200 yd/mtr",,http://www.kalamazoorodandgunclub.org
01002,2608,Agawam Revolver Club,302 Feeding Hills Rd,MA,Southwick,01077,(413) 569-3471,Yes,"Private, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 100 yd/mtr",,http://agawamrevolverclub.com
01002,1655,Hartford Gun Club,157 So Main St,CT,East Granby,06026,(860) 658-1614,Yes,"Private, Indoor/Outdoor, Handicap accessible , Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 200 yd/mtr",,http://www.hartfordgunclub.com
01002,3632,Rockville Fish & Game Club,Fish And Game Road,CT,Vernon Rockville,06066,(860) 966-7787,Yes,"Private, Indoor/Outdoor, Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns",Handgun/Smallbore Rifle: 50 yd/mtr,,http://www.rockvillefishandgameclub.com/
01002,3909,Northampton Revolver Club,519 Ryan Rd Po Box 122,MA,Florence,01061-0122,(413) 586-7821,Yes,"Private, Indoor/Outdoor, Members Only",,"Handguns, Rifles, Shotguns",,,http://www.northamptonrevolverclub.org
01002,7230,West Springfield Fish & Game Club,329 Garden St.,MA,Feeding Hills,01030,(413) 786-0926,No,"Private, Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns",,,#
01002,12381,Hot Brass Indoor Firearm and Bow Range,1050 Main Street,MA,West Springfield,01089,413-731-7666,No,"Public, Indoor, Handicap accessible , Public Access, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 50 yd/mtr",,http://hotbrassma.com
01002,2607,Ludlow Fish and Game Club,Sportmens Road,MA,Ludlow,01056-0172,(413) 583-4055,No,"Public, Indoor/Outdoor",,"Handguns, Rifles, Shotguns",Handgun/Smallbore Rifle: 50 ft,,http://www.lfgclub.org
01002,4482,"East Windsor Sportsman's Club, Inc.",30 Apothecaries Hall Rd Po Box 443,CT,Broad Brook,06016-9792,(860) 623-7589,No,"Private, Outdoor, Handicap accessible , Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 50 yd/mtr",,http://www.ewsclub.com
01002,3292,Somers Sportsmans Association,Dennison Road,CT,Somers,06071-0261,(860) 872-4007,No,"Private, Outdoor, Members Only",,"Handguns, Rifles, Shotguns",Center-Fire Rifle: 100 yd/mtr,,http://www.somerssportsmen.com
01003,6739,"Quaboag Sportsmen's Club, Inc.",451 Dunham Road,MA,Warren,01083,(413) 436-9271,Yes,"Private, Outdoor, Public Access, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.quaboagsportsmensclub.com
01003,7215,Norwottuck Fish and Game Association,1352 West St,MA,Amherst,01002,,No,"Private, Outdoor, Public Access, Memberships Available",,"Handguns, Rifles, Shotguns",,,http://www.norwottuckfishandgame.com
01003,2809,Chicopee Sportsmans Club,Batchelor St,MA,Granby,01021,(413) 594-7336,No,"Private, Outdoor, Public Access, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.chicopeesportsmensclub.com
01003,2414,Western Mass Duck Hunter,PO Box 315,MA,Granby,01033-0315,,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,#
01003,9158,Granby Bow and Gun Club,85 Chicopee St,MA,Granby,01033,413-255-0118,No,"Public, Indoor/Outdoor, Members Only, Memberships Available, Host Events Open To Public/Non-Members",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,http://www.granbybowandgun.club
01003,3801,Swift River Sportsmans Club,350 Cold Spring Rd.,MA,Belchertown,01007-9594,(413) 323-9387,No,"Private, Indoor/Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 100 yd/mtr",,http://www.swiftriversportsmans.org
01003,2875,South Deerfield Rod & Gun,Lee Road,MA,South Deerfield,01373,,No,"Private, Outdoor",,"Handguns, Rifles, Shotguns",,,#
01003,7429,Franklin County Sportsmen's Club,721 River Road,MA,Deerfield,01342,(413) 772-0346,No,"Private, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 200 yd/mtr",,http://www.fclsc.org
01003,2170,Nenameseck Sportsmens Club,150 Bacon Road,MA,Palmer,01069-1186,(413) 967-3720,No,"Private, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 300 yd/mtr, Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 300 yd/mtr",,http://www.nenameseck.com
01003,3166,Turners Fall Rod and Gun,15 Deep Hole Drive,MA,Turners Falls,01376,(413) 863-4382,No,"Private, Outdoor, Members Only",,"Handguns, Rifles, Shotguns",,,#
01005,5712,Conway Sportsmans Club,193 Elmer Rd,MA,Conway,01341-0202,(413) 369-4491,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,http://www.conwaysports.org
01008,3371,Wickaboag Sportsmens Club,89 New Braintree Road,MA,West Brookfield,01585,(508) 867-2460,No,"Private, Outdoor, Members Only",,"Handguns, Rifles, Shotguns",,,#
01009,5950,Western Mass Bird Dog Club,87 Charles Farnum Rd,MA,Granville,01034,(413) 357-6417,No,"Public, Outdoor, Public Access, Memberships Available",,"Handguns, Rifles, Shotguns",,,http://www.wmbdc.com
01009,2609,Lee Sportsman's Association,565 Fairveiw Street,MA,Lee,01238,(413) 243-9721,No,"Public, Indoor/Outdoor, Handicap accessible",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Handgun/Smallbore Rifle: 50 ft, Center-Fire Rifle: 200 yd/mtr",,http://www.leesportsmen.com
01009,2874,Worthington Rod & Gun Club,458 Dingle Road Route 112,MA,Worthington,01098,(413) 238-4466,No,"Private, Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns",Center-Fire Rifle: 100 yd/mtr,,#
01009,5070,Northwestern Connecticut Sportsmans Association,177  Winsted Norfolk Road,CT,Colebrook,06021,(860) 738-2582,No,"Private, Outdoor, Handicap accessible , Public Access, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 300 yd/mtr",,#
01011,7505,Putnam Fish and Game,110 Stonebridge Road,CT,Woodstock,06281,(860) 974-2968,Yes,"Private, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,http://www.putnamfishandgame.org
01011,1716,"Hamilton Rod & Gun Club, Inc.",24 Hamilton Road,MA,Sturbridge,01566,(508) 347-3389,No,"Private, Indoor/Outdoor, Handicap accessible , Public Access, Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 300 yd/mtr, Handgun/Smallbore Rifle: 50 yd/mtr",,http://www.hamiltonrg.org
01012,5352,Lenox Sportsmens Club,198 New Lenox Rd Po Box 499,MA,Lenox,01240-2223,(413) 637-4740,No,"Private, Indoor/Outdoor, Handicap accessible , Members Only",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 75 ft, Center-Fire Rifle: 75 ft",,http://www.lenoxsportsmensclub.com
01012,7163,Ashfield Rod & Gun Club,161 North St,MA,Plainfield,01070,(413) 625-8196,No,"Private, Outdoor, Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 100 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,#
01030,2610,Sheffield Sporting Club,Lime Kiln Road,MA,Sheffield,02157,(413) 229-8766,No,"Public, Outdoor",,"Handguns, Rifles, Shotguns",,,#
01030,6373,"Stockbridge Sportsmen's Club, Inc.",24 W Stockbridge Rd Route 102,MA,Stockbridge,01262,(413) 298-3277,No,"Public, Indoor/Outdoor, Handicap accessible , Members Only, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 50 yd/mtr, Center-Fire Rifle: 100 yd/mtr",,http://www.stockbridgesportsmensclub.org
01030,4359,"Northwest Connecticut Rod & Gun Club, Inc.",184 South Canaan Rd,CT,North Canaan,06018,(203) 824-4535,No,"Public, Indoor",,"Handguns, Rifles, Shotguns",,,http://www.northwestctrodandgun.org/index.html
01032,7222,South Barre Rod & Gun Club,2626 South Barre Rd,MA,South Barre,01074,(413) 477-6879,No,"Private, Outdoor, Public Access, Memberships Available",,"Handguns, Rifles, Shotguns","Handgun/Smallbore Rifle: 200 yd/mtr, Center-Fire Rifle: 200 yd/mtr",,http://www.goal.org/clubpages/southbarre.html
